strategy	words
counting	9
counting	8
counting	6
counting	8
counting	10
counting	4
counting	6
counting	5
counting	7
counting	7
rhyming	7
rhyming	9
rhyming	6
rhyming	6
rhyming	6
rhyming	11
rhyming	6
rhyming	3
rhyming	8
rhyming	7
adjective	11
adjective	13
adjective	8
adjective	6
adjective	14
adjective	11
adjective	13
adjective	13
adjective	10
adjective	11
imagery	12
imagery	11
imagery	16
imagery	11
imagery	9
imagery	23
imagery	12
imagery	10
imagery	19
imagery	11
intentional	10
intentional	19
intentional	14
intentional	5
intentional	10
intentional	11
intentional	14
intentional	15
intentional	11
intentional	11
